name,description,website,facebookpage,twitterpage,pininterest,googleplus,instagram,blog
Mineral,,www.theminerallife.com,,,,,,
Mineral,,http://www.theminerallife.com/,,,,,,
Mira Designs,,miradesigns.in,,,,,,
Mochi,,www.mochi.co.in,,,,,,
Mogra,,,,,,,,
Mom & Me,,www.momandme.in,,,,,,
Mothercare,,www.mothercare.com,,,,,,
Mufti,,www.mufti.in,,,,,,
Mustard,,www.mustardfashion.com,,,,,,
Myo Thai Spa,,www.myothaispa.com,,,,,,
Nail Spa,,,,,,,,
Nalli Next,,www.nallisilks.com,,,,,,
Naracamicie,,www.naracamicie.com,,,,,,
Nautica,,www.nautica.com,,,,,,
Neck Ties & More,,www.necktiesandmoreonline.com,,,,,,
Neulife Store,,www.neulife.in,,,,,,
Neutrogena,,www.neutrogena.com,,,,,,
Nike,,www.nike.com,,,,,,
Nike,,http://www.nike.com/,,,,,,
Nine West,,www.ninewest.com,,,,,,
Noi,,http://www.noi.in/,,,,,,
Nyassa,,www.nyassa.in,,,,,,
Om Art Gallery,,www.omart.org,,,,,,
Omega,,www.omegawatches.com,,,,,,
Only,,http://only-india.com/,,,,,,
Only,,only.com,,,,,,
Orra,,www.orra.co.in,,,,,,
Osim,,www.osim.com,,,,,,
Pantaloons,,pantaloons.com,,,,,,
Pantaloons,,www.pantaloons.com,,,,,,
Parcos,,https://www.facebook.com/ParcosIndia,,,,,,
Park Avenue,,www.parkavenue.co.in,,,,,,
Park Avenue,,parkavenue.co.in,,,,,,
Park Avenue Women,,http://www.parkavenue.co.in/,,,,,,
Parx,,http://www.parx.co.in/,,,,,,
Patchouli,,www.patchoulis.com,,,,,,
Paul & Shark,,www.paulshark.it,,,,,,
Paul Smith,,http://www.paulsmith.co.uk/uk-en/shop/,,,,,,
Pavers England,,www.paversengland.com,,,,,,
Peora,,www.peora.in,,,,,,
Peora,,http://peora.in/,,,,,,
Pepe Jeans,,www.pepejeans.com,,,,,,
Peter England,,www.peterengland.com,,,,,,
Planet Sports,,www.planetsportsonline.com,,,,,,
Prapti,,www.praptifashions.com,,,,,,
Prima Gold,,www.primagold.net,,,,,,
Proline,,www.prolineindia.com,,,,,,
Promod,,www.promod.eu,,,,,,
Provogue,,www.provogue.com,,,,,,
Provogue,,http://provogue.com,,,,,,
Puma,,www.puma.com,,,,,,
Puma,,http://www.puma.com/,,,,,,
Pure Gold,,www.pugold.com,,,,,,
Pure Gold,,www.pugold.com/in,,,,,,
Pure Gold,,http://www.pugold.com/,,,,,,
Queue Up,,,,,,,,
Quik Silver,,www.quiksilver.com,,,,,,
Raiara,,http://www.raiara.com/,,,,,,
RayBan,,www.vivacitymalls.com,,,,,,
Raymond Made-to-Measure,,www.raymond.in,,,,,,
Raymond Weil,,www.raymond-weil.com,,,,,,
Red Tape,,www.redtape.com,,,,,,
Reebok,,www.reebok.com,,,,,,
Regal,,http://www.theregalshoes.com/index.php/about-us,,,,,,
Reid & Taylor,,www.sknl.co.in,,,,,,
Reliance Footprint,,www.reliancefootprint.com,,,,,,
